frame,image,acq_us,submit_us,present_us
289,1,16430,105,59
290,2,15953,101,59
291,3,16407,100,59
292,0,16526,110,60
293,1,16316,105,58
294,2,16272,120,80
295,3,16486,99,60
296,0,16332,99,58
297,1,16240,103,60
298,2,16337,115,60
299,3,52159,100,58
300,0,43997,92,57
301,1,1717,92,54
302,2,34257,120,53
303,3,16410,103,55
304,0,16411,95,58
305,1,16331,93,55
306,2,16395,113,56
307,3,16460,96,59
308,0,16139,94,57
309,1,16699,97,59
310,2,15995,99,59
311,3,16422,106,59
312,0,16136,105,60
313,1,16490,95,60
314,2,16411,107,62
315,3,16245,104,72
316,0,16305,99,59
317,1,16437,96,60
318,2,16213,99,59
319,3,16837,110,82
320,0,16125,109,59
321,1,16155,104,60
322,2,16262,98,61
323,3,16385,94,57
324,0,16267,99,58
325,1,16626,93,55
326,2,16212,116,58
327,3,16383,103,57
328,0,16319,98,57
329,1,16406,92,79
330,2,16399,96,55
331,3,16806,127,103
332,0,15978,94,56
333,1,16225,98,56
334,2,16549,96,55
335,3,16248,107,64
336,0,16455,102,57
337,1,16787,126,81
338,2,15849,97,57
339,3,16505,100,56
340,0,16373,94,57
341,1,16346,96,76
342,2,16437,112,58
343,3,16748,114,62
344,0,16132,113,65
345,1,17231,123,85
346,2,16393,118,79
347,3,16185,120,76
348,0,16511,120,82
349,1,16206,136,129
350,2,16086,120,100
351,3,16452,120,85
352,0,16106,143,73
353,1,16584,129,81
354,2,16143,147,59
355,3,54096,105,74
356,0,2546,95,51
357,1,25806,95,58
358,2,16443,112,60
359,3,16579,110,78
360,0,16007,95,59
361,1,16406,90,60
362,2,16217,112,60
363,3,16265,111,68
364,0,16488,117,60
365,1,16873,98,79
366,2,15740,114,61
367,3,16413,123,61
368,0,16196,109,62
369,1,16401,102,68
370,2,16329,96,59
371,3,16829,99,77
372,0,16029,117,60
373,1,16344,94,61
374,2,16181,107,71
375,3,16502,94,61
376,0,16202,98,73
377,1,16799,121,75
378,2,15984,121,63
379,3,16320,109,70
380,0,16349,110,71
381,1,16392,100,69
382,2,16359,109,70
383,3,16860,96,60
384,0,16015,130,94
385,1,16298,105,59
386,2,16222,97,74
387,3,16399,100,56
388,0,16383,93,57
389,1,16616,102,55
390,2,16200,99,56
391,3,16450,108,59
392,0,16280,96,71
393,1,16423,97,59
394,2,16300,96,57
395,3,118170,205,103
396,0,57151,220,100
397,1,3073,109,52
398,2,15052,92,52
399,3,16477,96,54
400,0,17013,144,73
401,1,16830,101,72
402,2,15578,95,57
403,3,18750,129,62
404,0,38340,191,93
405,1,45433,187,91
406,2,4707,88,51
407,3,24032,124,71
408,0,16857,116,61
409,1,15829,157,61
410,2,16850,144,77
411,3,16474,138,63
412,0,16312,118,61
413,1,16124,126,59
414,2,15961,114,61
415,3,16234,122,56
416,0,17422,115,60
417,1,15722,119,73
418,2,16487,152,65
419,3,16515,118,67
420,0,15282,131,61
421,1,16365,169,100
422,2,17047,112,60
423,3,16558,118,55
424,0,16425,114,57
425,1,15966,134,58
426,2,15636,126,58
427,3,16842,144,64
428,0,16357,127,60
429,1,16192,130,74
430,2,16699,129,59
431,3,16208,120,57
432,0,15704,144,61
433,1,16657,141,71
434,2,16693,193,67
435,3,18796,164,77
436,0,15163,153,75
437,1,15931,120,62
438,2,17488,117,63
439,3,15004,144,83
440,0,15399,101,58
441,1,16928,108,62
442,2,16387,116,61
443,3,16259,120,62
444,0,16395,112,60
445,1,15566,100,59
446,2,17326,133,60
447,3,16072,142,67
448,0,16419,136,60
449,1,16230,178,75
450,2,15574,119,65
451,3,15990,143,69
452,0,16829,95,57
453,1,16791,133,70
454,2,16793,133,77
455,3,16259,123,73
456,0,16597,144,68
457,1,16063,147,67
458,2,22175,143,79
459,3,16372,140,81
460,0,18282,109,62
461,1,8422,100,56
462,2,60833,189,94
463,3,4317,93,53
464,0,25799,166,89
465,1,7115,96,53
466,2,16797,112,57
467,3,16194,102,57
468,0,16166,101,91
469,1,16262,101,60
470,2,27759,123,69
471,3,4843,94,57
472,0,16743,99,58
473,1,16724,95,56
474,2,15519,99,54
475,3,16311,98,56
476,0,16322,98,56
477,1,33143,142,72
478,2,2315,95,56
479,3,14177,99,56
480,0,16552,110,62
481,1,31448,127,65
482,2,19262,121,63
483,3,14337,122,69
484,0,16272,165,78
485,1,15937,103,59
486,2,32599,124,60
487,3,36039,165,75
488,0,19585,127,87
489,1,16098,174,85
490,2,19208,138,75
491,3,22023,153,66
492,0,15101,142,74
493,1,32971,207,107
494,2,5074,143,62
495,3,34870,117,63
496,0,13127,126,72
497,1,21121,105,60
498,2,15019,247,75
499,3,17802,161,79
500,0,11082,106,58
501,1,19658,129,95
502,2,16455,189,81
503,3,15063,126,110
504,0,13469,169,82
505,1,17413,146,76
506,2,15364,128,74
507,3,15699,122,58
508,0,16346,141,59
509,1,16546,114,61
510,2,15788,149,75
511,3,16460,118,58
512,0,16949,123,60
513,1,16197,118,63
514,2,17285,111,58
515,3,57742,120,71
516,0,7103,114,60
517,1,17213,101,80
518,2,16993,124,79
519,3,14807,119,70
520,0,16515,124,75
521,1,16444,130,67
522,2,16714,126,64
523,3,16210,135,64
524,0,16239,120,63
525,1,16447,145,65
526,2,15632,130,62
527,3,16606,126,76
528,0,16723,117,63
529,1,16000,128,61
530,2,16607,129,62
531,3,16337,123,64
532,0,15852,125,62
533,1,16549,122,73
534,2,16828,139,65
535,3,15943,134,62
536,0,16295,119,61
537,1,16388,137,63
538,2,15721,118,92
539,3,16672,117,53
540,0,16631,136,63
541,1,16453,143,110
542,2,16188,123,67
543,3,16209,124,77
544,0,16016,126,66
545,1,16569,138,66
546,2,17057,135,66
547,3,16000,133,67
548,0,16192,134,66
549,1,16397,133,66
550,2,15620,134,65
551,3,16523,160,72
552,0,16785,133,63
553,1,16228,120,66
554,2,16180,112,77
555,3,16600,121,65
556,0,15582,115,75
557,1,16843,132,62
558,2,16499,124,59
559,3,15815,122,61
560,0,16414,148,62
561,1,16239,155,58
562,2,15837,119,57
563,3,16776,169,88
564,0,16402,112,55
565,1,16121,115,64
566,2,26674,101,54
567,3,16608,113,63
568,0,16376,125,59
569,1,16185,107,54
570,2,16070,117,60
571,3,16396,121,55
572,0,16401,111,58
573,1,45944,131,54
574,2,20659,89,55
575,3,16094,88,52
576,0,16203,115,53
577,1,16253,117,48
578,2,16304,121,62
579,3,16424,117,52
580,0,16345,121,51
581,1,16269,117,54
582,2,16427,117,56
583,3,16344,135,57
584,0,16399,153,54
585,1,16228,114,56
586,2,16006,117,64
587,3,16323,110,59
588,0,16328,139,56
589,1,16393,163,54
590,2,16343,118,82
591,3,16573,124,51
592,0,16145,124,90
593,1,16551,122,52
594,2,16254,115,55
595,3,16802,134,57
596,0,16165,127,61
597,1,16685,93,54
598,2,16257,91,54
599,3,16087,146,58
600,0,16270,120,55
601,1,16272,122,55
602,2,16498,121,60
603,3,16416,125,56
604,0,16381,139,77
605,1,16228,125,75
606,2,16520,119,73
607,3,16202,123,76
608,0,16232,121,56
609,1,16630,181,73
610,2,16309,111,79
611,3,16059,126,74
612,0,16392,120,74
613,1,16631,117,82
614,2,16034,114,76
615,3,16530,128,62
616,0,16366,108,73
617,1,16225,118,77
618,2,16322,112,74
619,3,16444,110,75
620,0,16127,118,73
621,1,16514,125,61
622,2,16350,90,58
623,3,16152,117,59
624,0,16521,98,57
625,1,24476,111,58
626,2,16053,127,57
627,3,16572,115,64
628,0,16495,106,56
629,1,16024,122,58
630,2,79798,166,82
631,3,4916,114,58
632,0,31612,150,95
633,1,14408,141,64
634,2,16643,132,55
635,3,16439,124,69
636,0,16318,110,63
637,1,16464,120,87
638,2,16393,143,64
639,3,16202,136,65
640,0,16377,146,74
641,1,16623,154,125
642,2,15973,157,87
643,3,17122,131,96
644,0,15954,190,82
645,1,15911,166,89
646,2,16442,127,82
647,3,16146,161,71
648,0,15941,140,68
649,1,16269,177,69
650,2,16275,148,68
651,3,16365,139,66
652,0,16570,149,73
653,1,16715,116,61
654,2,16461,138,68
655,3,16395,191,68
656,0,16268,132,80
657,1,16274,168,74
658,2,16181,183,72
659,3,16621,169,69
660,0,15806,106,61
661,1,16150,134,75
662,2,16356,116,68
663,3,16204,126,88
664,0,16466,108,61
665,1,16851,119,79
666,2,15652,154,67
667,3,15778,145,73
668,0,16339,109,59
669,1,16378,109,60
670,2,16346,105,60
671,3,16730,104,62
672,0,15611,113,62
673,1,16051,109,63
674,2,16327,106,59
675,3,16392,120,65
676,0,16297,101,59
677,1,16686,136,69
678,2,15565,104,57
679,3,33339,145,71
680,0,12802,129,77
681,1,16269,147,63
682,2,16362,110,63
683,3,16481,122,66
684,0,15786,120,67
685,1,16363,107,63
686,2,51608,130,74
687,3,4087,101,64
688,0,16220,101,55
689,1,16310,97,55
690,2,16425,98,52
691,3,16259,108,55
692,0,16380,101,54
693,1,15868,101,56
694,2,16828,124,58
695,3,17529,125,59
696,0,17680,103,58
697,1,32800,147,73
698,2,15861,197,108
699,3,19270,142,118
700,0,11655,129,64
701,1,16216,105,62
702,2,16027,102,59
703,3,16426,101,57
704,0,16704,102,57
705,1,15908,101,57
706,2,33884,143,70
707,3,16270,133,65
708,0,16385,128,69
709,1,16686,173,99
710,2,16773,128,82
711,3,17821,147,96
712,0,16843,138,81
713,1,12639,112,62
714,2,15662,111,60
715,3,16254,126,62
716,0,17389,111,63
717,1,16032,112,64
718,2,16259,106,58
719,3,16378,112,60
720,0,16368,99,57
721,1,16212,157,76
722,2,25274,155,100
723,3,6525,117,80
724,0,17127,105,58
725,1,16208,109,63
726,2,16454,112,59
727,3,22965,207,109
728,0,9003,113,61
729,1,23868,139,91
730,2,17612,130,80
731,3,7938,110,62
732,0,15756,153,65
733,1,16330,108,62
734,2,16534,110,67
735,3,16437,112,65
736,0,15987,109,60
737,1,16418,122,59
738,2,16394,128,68
739,3,18524,131,104
740,0,15922,109,60
741,1,14747,140,68
742,2,55700,96,57
743,3,9757,97,54
744,0,16812,122,70
745,1,16422,91,56
746,2,15825,93,57
747,3,16558,92,56
748,0,16467,106,57
749,1,16146,102,57
750,2,16460,104,56
751,3,16374,96,56
752,0,16355,93,56
753,1,16498,100,69
754,2,16455,96,56
755,3,16251,98,56
756,0,17163,113,68
757,1,15743,173,69
758,2,16088,115,66
759,3,16480,110,71
760,0,16137,105,62
761,1,16825,110,61
762,2,16143,142,69
763,3,16085,136,68
764,0,16298,135,91
765,1,16360,145,72
766,2,16145,105,56
767,3,16270,95,56
768,0,16455,98,84
769,1,16225,94,58
770,2,16550,93,57
771,3,17101,150,69
772,0,16283,134,69
773,1,15754,130,68
774,2,16209,114,94
775,3,16267,123,70
776,0,17061,150,73
777,1,16086,145,70
778,2,16397,133,69
779,3,16283,141,86
780,0,16605,131,91
781,1,16187,142,69
782,2,16360,158,70
783,3,16002,143,70
784,0,16345,143,71
785,1,16285,121,68
786,2,16607,103,65
787,3,15486,107,58
788,0,16538,121,68
789,1,16748,136,77
790,2,16245,103,68
791,3,16231,105,67
792,0,16632,108,59
793,1,16216,176,78
794,2,16240,138,71
795,3,16173,118,72
796,0,15843,119,72
797,1,21841,180,85
798,2,16343,170,94
799,3,16074,173,66
800,0,51393,149,59
801,1,3177,99,56
802,2,13254,115,56
803,3,13121,129,77
804,0,16150,106,90
805,1,17040,117,59
806,2,15671,117,66
807,3,16181,118,78
808,0,16290,118,63
809,1,16352,128,79
810,2,16373,121,67
811,3,16273,117,72
812,0,16505,94,57
813,1,16306,106,57
814,2,16178,91,56
815,3,16442,121,64
816,0,16372,118,65
817,1,16251,117,71
818,2,16537,119,65
819,3,16123,113,76
820,0,16359,117,76
821,1,16723,118,76
822,2,16032,119,68
823,3,16342,117,80
824,0,16355,120,65
825,1,16244,117,70
826,2,16265,118,59
827,3,16908,123,66
828,0,15842,117,72
829,1,16245,119,77
830,2,16695,119,68
831,3,16362,129,72
832,0,16196,95,58
833,1,16431,90,57
834,2,16347,99,58
835,3,16121,101,61
836,0,16697,95,58
837,1,16048,99,56
838,2,16340,113,56
839,3,16598,94,58
840,0,16258,124,80
841,1,16543,94,71
842,2,16234,106,55
843,3,16399,127,81
844,0,16409,93,59
845,1,16489,128,81
846,2,16164,124,77
847,3,16510,117,74
848,0,16147,132,71
849,1,16265,95,57
850,2,16667,95,57
851,3,16263,150,79
852,0,16272,119,57
853,1,16469,117,73
854,2,16219,117,91
855,3,16284,97,57
856,0,16426,95,56
857,1,23738,182,90
858,2,15490,401,111
859,3,45599,130,68
860,0,36890,131,76
861,1,16460,206,102
862,2,16154,167,71
863,3,16854,171,65
864,0,15326,149,98
865,1,16042,117,92
866,2,16569,196,93
867,3,15897,114,63
868,0,16339,92,54
869,1,16336,106,54
870,2,16242,110,56
871,3,16471,96,59
872,0,16549,134,71
873,1,16288,124,64
874,2,16466,97,80
875,3,16488,95,55
876,0,15992,103,57
877,1,16346,95,60
878,2,16584,140,69
879,3,16289,106,58
880,0,16334,100,58
881,1,16544,97,57
882,2,16224,110,59
883,3,16370,95,65
884,0,16908,180,119
885,1,15699,104,58
886,2,16324,96,63
887,3,16404,103,58
888,0,16311,103,58
889,1,16372,94,60
890,2,16525,125,84
891,3,16038,123,57
892,0,16453,101,56
893,1,16392,131,68
894,2,16326,125,85
895,3,16413,115,149
896,0,16619,100,55
897,1,15925,119,137
898,2,16122,116,140
899,3,16309,287,62
900,0,16033,109,153
901,1,16025,116,130
902,2,43760,108,60
903,3,16064,179,126
904,0,17522,141,81
905,1,7858,111,60
906,2,16356,129,75
907,3,16807,156,84
908,0,15825,124,75
909,1,16339,232,156
910,2,16676,175,94
911,3,16429,342,119
912,0,15963,183,96
913,1,16413,162,111
914,2,64860,145,66
915,3,17478,154,73
916,0,16950,182,92
917,1,15969,144,81
918,2,15089,176,85
919,3,16634,131,74
920,0,16245,130,73
921,1,16180,130,76
922,2,16958,127,64
923,3,15488,179,72
924,0,16354,113,65
925,1,16446,130,76
926,2,16096,142,83
927,3,16804,100,62
928,0,16104,185,124
929,1,17934,106,81
930,2,14860,136,76
931,3,16192,199,107
932,0,15677,121,90
933,1,16366,109,63
934,2,16511,158,88
935,3,20044,139,74
936,0,12515,121,65
937,1,16182,106,65
938,2,16256,113,62
939,3,16733,126,65
940,0,16442,150,87
941,1,16174,114,88
942,2,16285,107,63
943,3,16357,108,63
944,0,16191,101,61
945,1,16735,103,58
946,2,16607,112,62
947,3,16395,105,60
948,0,15956,103,60
949,1,16457,113,59
950,2,16337,154,79
951,3,16600,136,73
952,0,16337,134,76
953,1,16456,112,57
954,2,16355,132,66
955,3,16186,151,73
956,0,16059,105,61
957,1,16355,123,65
958,2,16108,130,64
959,3,16248,105,62
960,0,16540,120,64
961,1,16259,131,60
962,2,16346,124,63
963,3,16509,119,62
964,0,16420,127,62
965,1,16255,118,62
966,2,16416,120,63
967,3,16407,131,65
968,0,16225,131,66
969,1,16526,110,63
970,2,16560,141,63
971,3,59673,126,81
972,0,3507,112,59
973,1,12509,103,57
974,2,13042,117,62
975,3,15436,107,60
976,0,16293,114,62
977,1,17002,101,57
978,2,16963,125,68
979,3,15511,103,62
980,0,16137,109,59
981,1,16212,128,65
982,2,16699,99,59
983,3,16633,100,60
984,0,16463,100,61
985,1,16088,100,60
986,2,16170,142,63
987,3,16273,130,62
988,0,16880,107,59
989,1,16419,116,62
990,2,16546,98,58
991,3,16066,108,60
992,0,16240,116,60
993,1,16057,130,61
994,2,16887,110,61
995,3,16402,103,60
996,0,16427,98,58
997,1,16230,101,59
998,2,16077,135,61
999,3,16089,120,78
1000,0,16981,105,57
1001,1,16456,92,56
1002,2,16537,118,58
1003,3,16078,120,58
1004,0,15979,138,78
1005,1,18591,147,81
1006,2,14490,176,64
1007,3,16701,157,77
1008,0,16206,136,60
1009,1,16236,128,66
1010,2,16586,129,75
1011,3,15733,120,57
1012,0,16770,151,66
1013,1,16398,117,76
1014,2,16137,124,67
1015,3,16244,149,62
1016,0,16193,121,68
1017,1,16088,153,67
1018,2,16662,135,62
1019,3,16613,122,63
1020,0,16277,121,62
1021,1,16271,131,65
1022,2,15811,112,84
1023,3,30486,133,81
1024,0,20052,177,67
1025,1,16278,164,80
1026,2,15551,117,63
1027,3,16131,113,78
1028,0,16509,139,75
1029,1,52944,121,62
1030,2,16151,121,54
1031,3,15920,125,68
1032,0,16845,120,56
1033,1,15698,157,64
1034,2,17747,118,60
1035,3,16347,115,56
1036,0,15825,118,61
1037,1,16304,134,83
1038,2,16019,111,53
1039,3,16755,92,57
1040,0,19809,110,58
1041,1,13197,134,67
1042,2,16351,124,57
1043,3,16120,97,55
1044,0,16404,130,64
1045,1,16370,126,65
1046,2,16481,115,63
1047,3,40875,174,63
1048,0,3316,102,51
1049,1,22545,118,82
1050,2,14236,156,73
1051,3,16052,94,56
1052,0,16155,93,56
1053,1,16351,99,59
1054,2,17018,125,77
1055,3,15840,122,75
1056,0,16709,126,80
1057,1,16085,143,56
1058,2,16226,97,73
1059,3,16665,124,77
1060,0,16297,100,62
1061,1,16343,102,63
1062,2,16908,120,66
1063,3,15589,122,128
1064,0,16649,100,78
1065,1,16105,101,64
1066,2,19543,135,93
1067,3,13603,135,60
1068,0,16103,136,85
1069,1,16059,131,99
1070,2,17189,135,88
1071,3,15844,127,80
1072,0,15901,164,101
1073,1,15994,136,83
1074,2,60517,139,90
1075,3,48563,105,63
1076,0,2555,144,74
1077,1,56902,225,103
1078,2,3062,100,60
1079,3,32673,243,93
1080,0,2415,113,63
1081,1,62290,129,71
1082,2,4903,109,66
1083,3,35185,121,71
1084,0,3112,115,66
1085,1,34348,115,69
1086,2,20449,188,101
1087,3,11990,157,89
1088,0,5749,114,68
1089,1,20603,128,76
1090,2,12027,123,69
1091,3,29219,144,76
1092,0,2161,117,86
1093,1,32097,113,70
1094,2,21668,139,69
1095,3,2261,133,68
1096,0,13162,176,79
1097,1,33447,127,78
1098,2,21807,298,94
1099,3,3908,110,64
1100,0,31242,125,83
1101,1,4467,131,73
1102,2,30588,141,71
1103,3,21239,159,83
1104,0,9906,107,63
1105,1,34133,166,107
1106,2,826,113,72
1107,3,33520,125,71
1108,0,19736,118,75
1109,1,7331,109,61
1110,2,29455,154,2161
1111,3,3926,136,84
1112,0,28559,109,66
1113,1,2888,127,66
1114,2,36211,128,64
1115,3,19979,127,70
1116,0,10408,141,72
1117,1,29389,144,88
1118,2,1923,100,59
1119,3,35636,107,64
1120,0,20039,141,85
1121,1,9636,150,88
1122,2,27151,217,85
1123,3,4013,105,61
1124,0,33276,115,73
1125,1,1501,121,68
1126,2,18863,111,67
1127,3,14076,145,89
1128,0,20732,122,678
1129,1,12491,149,97
1130,2,22803,140,73
1131,3,17547,124,94
1132,0,39742,2219,81
1133,1,58472,116,63
1134,2,6622,124,70
1135,3,35136,118,71
1136,0,1860,142,72
1137,1,33484,179,91
1138,2,2967,104,62
1139,3,36693,121,73
1140,0,1010,133,76
1141,1,40289,162,71
1142,2,17998,146,94
1143,3,4667,156,92
1144,0,38128,119,73
1145,1,24291,149,64
1146,2,2902,111,63
1147,3,37153,135,68
1148,0,3008,108,60
1149,1,25125,139,76
1150,2,8725,111,64
1151,3,21179,134,70
1152,0,28525,103,80
1153,1,4708,149,73
1154,2,33108,120,80
1155,3,21703,153,99
1156,0,3861,139,64
1157,1,15740,109,73
1158,2,20336,123,72
1159,3,12536,101,58
1160,0,33364,118,71
1161,1,20586,155,80
1162,2,2873,111,62
1163,3,34520,147,97
1164,0,19172,140,74
1165,1,10242,107,59
1166,2,23516,127,70
1167,3,8932,107,62
1168,0,25067,108,67
1169,1,7864,103,63
1170,2,26693,126,100
1171,3,12494,155,84
1172,0,23018,137,93
1173,1,4031,125,68
1174,2,29056,118,74
1175,3,272,106,56
1176,0,32163,119,67
1177,1,2278,131,68
1178,2,32178,195,101
1179,3,1924,129,64
1180,0,33540,135,80
1181,1,1861,94,53
1182,2,37856,176,89
1183,3,52438,125,67
1184,0,3486,124,70
1185,1,16863,129,67
1186,2,31593,116,68
1187,3,1247,114,80
1188,0,30052,110,68
1189,1,2902,111,64
1190,2,29047,115,87
1191,3,2066,107,61
1192,0,18514,105,62
1193,1,11850,105,61
1194,2,32666,116,72
1195,3,18107,161,102
1196,0,3467,120,67
1197,1,12475,113,65
1198,2,31375,155,136
1199,3,18133,1160,85
1200,0,12797,244,133
1201,1,19493,130,88
1202,2,15114,157,88
1203,3,16829,134,84
1204,0,15167,132,78
1205,1,16914,122,70
1206,2,14280,160,75
1207,3,17392,124,70
1208,0,14998,105,62
1209,1,17519,106,77
1210,2,15522,168,101
1211,3,17244,129,65
1212,0,14298,125,64
1213,1,16952,129,62
1214,2,15496,106,62
1215,3,16518,123,66
1216,0,15988,113,64
1217,1,18943,130,66
